sirano,isim,yas,meslek,sehir,aylik_gelir
1,Cemal,35,Isci,Ankara,3500
2,Ceyda,42,Memur,Kayseri,4200
3,Timur,30,Müzisyen,Istanbul,9000
4,Burcu,29,Pazarlamaci,Ankara,4200
5,Yasemin,23,Pazarlamaci,Bursa,4800
6,Ali,33,Memur,Ankara,4250
7,Dilek,29,Pazarlamaci,Istanbul,7300
8,Murat,31,Müzisyen,Istanbul,12000
9,Ahmet,33,Doktor,Ankara,18000
10,Muhittin,46,Berber,Istanbul,12000
11,Hicaziye,47,Tuhafiyeci,Ankara,4800
12,Harun,43,Tornacı,Ankara,4200
13,Hakkı,33,Memur,Çorum,3750
14,Gülizar,37,Doktor,İzmir,14250
15,Şehmuz,41,Müzisyen,Ankara,8700
